epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.971056,25.2520,1.825720,30.4800,0.099994
2,1.722260,33.3480,2.398503,21.7600,0.099975
3,1.680402,35.9760,3.137009,22.0200,0.099944
4,1.677487,36.1800,3.480645,19.5000,0.099901
5,1.671920,36.1140,2.065873,26.4400,0.099846
6,1.672556,36.1600,1.879470,30.5600,0.099778
7,1.669211,36.5460,24.085317,10.0000,0.099698
8,1.661967,36.5600,1.735770,36.4700,0.099606
9,1.660261,36.6920,2.805401,19.5000,0.099501
10,1.663699,36.3660,4.343304,23.6500,0.099384
11,1.664021,36.5580,3.675403,19.6100,0.099255
12,1.652372,36.5220,5.022651,15.0000,0.099114
13,1.663197,36.3720,5.828429,12.6500,0.098961
14,1.662036,36.4440,3.167103,17.9200,0.098796
15,1.667651,36.4240,12.054474,11.3800,0.098618
16,1.655959,36.8020,1.953837,29.2600,0.098429
17,1.658423,36.9660,4.047889,15.2400,0.098228
18,1.650550,37.2520,3.556457,12.3900,0.098015
19,1.658052,36.5420,3.128231,22.9400,0.097790
20,1.656250,37.3280,5.749701,16.4100,0.097553
21,1.656133,37.2100,2.496210,24.4700,0.097304
22,1.645034,37.5620,1.986702,30.2000,0.097044
23,1.649226,37.3340,2.516523,24.7700,0.096772
24,1.647500,37.4660,5.520657,10.8600,0.096489
25,1.648991,37.3060,2.388638,27.7100,0.096194
26,1.645114,37.4620,2.154074,28.7300,0.095888
27,1.650746,36.9520,3.956618,17.9800,0.095570
28,1.644289,37.4580,4.664470,10.8200,0.095241
29,1.642420,37.8080,2.070620,23.1000,0.094901
30,1.637659,37.5420,2.402227,25.7100,0.094550
31,1.647959,37.3200,1.659472,36.6600,0.094188
32,1.647731,37.4080,2.046242,28.5000,0.093815
33,1.638713,37.8420,2.385817,22.5900,0.093432
34,1.643705,37.7780,6.604619,16.7600,0.093037
35,1.645644,37.3160,2.193361,25.6000,0.092632
36,1.638790,37.6760,3.631129,15.9900,0.092216
37,1.638330,37.9640,6.881848,14.9700,0.091790
38,1.639675,37.8500,5.629367,16.5200,0.091354
39,1.629559,37.8960,3.809419,19.3600,0.090907
40,1.642703,37.4880,1.923006,31.5900,0.090451
41,1.645211,37.4900,2.836033,20.6800,0.089984
42,1.640090,37.9060,3.306935,23.4300,0.089508
43,1.631605,37.8500,2.078593,24.8200,0.089022
44,1.641557,37.5860,7.080931,21.0300,0.088526
45,1.634542,38.1440,2.572775,26.1800,0.088020
46,1.634061,38.0100,5.307495,16.6500,0.087506
47,1.629472,38.5620,2.004411,29.0800,0.086982
48,1.626162,38.7600,2.751434,19.3200,0.086448
49,1.622127,39.2640,3.938636,23.9500,0.085906
50,1.625337,38.6940,1.902651,29.4400,0.085355
51,1.619117,39.5860,2.561010,26.4200,0.084796
52,1.621313,38.9940,6.859764,10.2700,0.084227
53,1.620380,39.0800,4.779617,16.1900,0.083651
54,1.615447,39.6260,1.733508,33.7900,0.083066
55,1.612393,39.5880,2.275313,27.5700,0.082472
56,1.615026,39.4840,3.259673,22.9400,0.081871
57,1.614636,39.5160,2.278543,23.4100,0.081262
58,1.610722,39.5860,2.235838,24.3100,0.080645
59,1.613272,39.4980,3.811363,20.1500,0.080021
60,1.606361,39.8520,1.976568,31.0100,0.079389
61,1.608865,39.9720,2.309266,21.3700,0.078750
62,1.611782,39.5440,2.068757,30.6500,0.078104
63,1.607393,39.6860,9.195528,12.3800,0.077451
64,1.612783,39.7980,2.043041,31.4100,0.076791
65,1.604081,40.0520,2.238901,24.3600,0.076125
66,1.606500,40.0960,1.869471,30.0100,0.075452
67,1.604590,39.7060,3.246930,21.1700,0.074773
68,1.601614,40.0820,2.782924,28.3700,0.074088
69,1.602659,39.8340,1.881526,34.3200,0.073396
70,1.599307,40.1520,1.854756,35.8000,0.072700
71,1.597089,40.4920,13.315513,10.5200,0.071997
72,1.601503,40.1900,2.300523,27.2800,0.071289
73,1.591819,40.8360,2.905789,20.7400,0.070576
74,1.585783,41.0660,1.652782,38.1600,0.069857
75,1.594468,40.7720,3.023640,19.5400,0.069134
76,1.582526,40.5920,4.192039,12.8700,0.068406
77,1.586069,40.8440,4.200885,19.3100,0.067674
78,1.590614,40.6060,1.927669,34.0300,0.066937
79,1.580026,41.2500,1.686482,37.7600,0.066196
80,1.577655,41.6900,2.060447,29.9600,0.065451
81,1.577923,41.5740,3.746360,20.9800,0.064702
82,1.584879,40.9320,3.015428,19.4400,0.063950
83,1.573935,41.5960,7.694795,12.3700,0.063194
84,1.578584,41.1900,6.286269,19.1900,0.062434
85,1.575279,41.4560,2.757154,26.5000,0.061672
86,1.568395,41.7500,2.204037,27.9500,0.060907
87,1.569136,41.6160,2.378456,29.2800,0.060139
88,1.565877,42.0180,2.610058,21.9300,0.059369
89,1.566067,41.6560,3.339479,25.7900,0.058596
90,1.563051,42.1020,4.125979,16.7600,0.057822
91,1.561446,42.0760,1.857981,33.4000,0.057045
92,1.559921,41.9920,2.303915,28.8400,0.056267
93,1.556342,42.1500,2.586091,24.4100,0.055487
94,1.556402,42.3900,1.991737,32.2800,0.054705
95,1.558480,42.1180,3.410003,23.2700,0.053923
96,1.547539,42.3720,2.228973,24.2200,0.053140
97,1.551427,42.6760,2.462093,24.3900,0.052355
98,1.544851,42.7920,3.063572,15.0800,0.051571
99,1.548063,42.5180,6.548280,13.0400,0.050785
100,1.540266,43.0660,1.747602,35.0000,0.050000
101,1.549868,42.4220,3.918886,17.5600,0.049215
102,1.534092,43.3660,4.020451,16.4900,0.048429
103,1.532631,43.5320,1.798292,34.4900,0.047645
104,1.527296,43.2460,2.067001,28.9400,0.046860
105,1.523257,43.7100,2.043231,30.6400,0.046077
106,1.523175,43.7820,4.726185,23.4800,0.045295
107,1.526269,43.8580,5.350733,20.7200,0.044513
108,1.515078,43.8880,4.118823,16.7100,0.043733
109,1.514711,43.8560,3.489004,23.6500,0.042955
110,1.513646,44.2000,1.556321,42.4800,0.042178
111,1.501022,44.8360,2.592336,27.5000,0.041404
112,1.500538,44.9520,3.371335,25.1000,0.040631
113,1.503048,44.4780,1.769967,39.2900,0.039861
114,1.497203,44.6940,1.542968,42.7500,0.039093
115,1.499519,44.6280,2.226176,26.6600,0.038328
116,1.496478,44.9700,2.319104,28.3900,0.037566
117,1.493342,44.8880,2.093862,32.7300,0.036806
118,1.489914,45.1520,2.314776,25.8200,0.036050
119,1.491184,45.0740,3.716676,23.2600,0.035298
120,1.483022,45.6300,2.124118,29.9900,0.034549
121,1.481442,45.8580,1.974921,34.8400,0.033804
122,1.478200,45.5640,2.372326,28.6000,0.033063
123,1.483657,45.5540,1.848329,34.7200,0.032326
124,1.483530,45.4140,1.731165,38.3100,0.031594
125,1.474088,45.6860,2.925391,26.2200,0.030866
126,1.474401,45.6600,3.668726,21.4800,0.030143
127,1.473130,45.9480,4.505220,17.0400,0.029424
128,1.458903,46.5140,1.641376,40.7300,0.028711
129,1.445327,47.4540,1.893163,37.9500,0.028003
130,1.431895,48.1660,2.171116,32.1600,0.027300
131,1.424004,48.2120,3.737621,18.6000,0.026604
132,1.415533,48.9040,9.666669,16.9000,0.025912
133,1.406784,49.1400,1.837147,38.5300,0.025227
134,1.407180,49.3460,1.432528,46.8900,0.024548
135,1.401069,49.4520,4.688525,22.1000,0.023875
136,1.397638,49.1440,1.527899,45.0700,0.023209
137,1.391290,49.8420,1.771266,38.7900,0.022549
138,1.386100,49.9400,2.078972,32.5300,0.021896
139,1.390557,50.0720,2.325003,31.7700,0.021250
140,1.383248,50.1700,1.785869,40.6000,0.020611
