epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.789367,33.6180,1.947678,32.5400,0.099994
2,1.566329,43.3600,1.585030,42.7300,0.099975
3,1.480605,46.8640,1.527724,44.5200,0.099944
4,1.432954,48.7320,1.482195,47.0600,0.099901
5,1.383254,51.0600,1.383988,49.8300,0.099846
6,1.360661,51.8300,1.411023,49.8200,0.099778
7,1.331620,53.4040,1.426970,51.5400,0.099698
8,1.313861,53.6940,1.417943,49.6100,0.099606
9,1.310462,54.1200,1.294216,53.6700,0.099501
10,1.293850,54.9560,1.329416,51.7400,0.099384
11,1.278536,55.3580,1.256916,54.7100,0.099255
12,1.260297,55.9780,1.464530,48.9700,0.099114
13,1.252306,56.2960,1.599438,46.4100,0.098961
14,1.251522,56.4720,1.269841,55.3400,0.098796
15,1.239097,56.7120,1.416389,48.2900,0.098618
16,1.237810,56.8080,1.240476,57.9900,0.098429
17,1.215428,57.7700,1.245725,55.5600,0.098228
18,1.216871,57.8880,1.152565,59.7100,0.098015
19,1.218837,57.5560,1.352921,53.9000,0.097790
20,1.208120,57.9320,1.201444,57.7600,0.097553
21,1.200553,58.4680,1.234806,56.2300,0.097304
22,1.196072,58.4300,1.229064,57.7000,0.097044
23,1.190171,58.7060,1.131115,60.4600,0.096772
24,1.188337,58.6680,1.128487,60.7200,0.096489
25,1.193867,58.5280,1.310195,53.8500,0.096194
26,1.176447,59.1820,1.204962,58.3200,0.095888
27,1.175282,59.0280,1.110162,61.5600,0.095570
28,1.179828,59.0600,1.394073,50.9600,0.095241
29,1.171771,59.2900,1.173200,58.9900,0.094901
30,1.166505,59.5700,1.305421,53.8300,0.094550
31,1.172465,59.1840,1.170809,59.7200,0.094188
32,1.160304,59.6640,1.316354,53.8800,0.093815
33,1.169008,59.5580,1.068731,62.7500,0.093432
34,1.158086,59.9920,1.152304,59.1800,0.093037
35,1.157948,60.2000,1.172709,60.1800,0.092632
36,1.161123,59.9980,1.237175,55.8600,0.092216
37,1.153715,60.0520,1.359844,52.5500,0.091790
38,1.151393,60.0580,1.271076,54.1100,0.091354
39,1.153395,59.8960,1.140162,60.1100,0.090907
40,1.141300,60.7340,1.119138,61.1700,0.090451
41,1.139391,60.5000,1.093623,62.0900,0.089984
42,1.140411,60.6400,1.235939,56.0700,0.089508
43,1.138705,60.6420,1.239222,56.9700,0.089022
