epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.539208,43.0600,1.751340,43.4500,0.099994
2,1.192268,57.2940,1.367204,53.0900,0.099975
3,1.031495,63.4920,1.177476,59.9600,0.099944
4,0.933416,67.2340,1.261900,57.9500,0.099901
5,0.865447,69.9780,0.896456,68.6700,0.099846
6,0.814456,71.7320,1.076589,62.8500,0.099778
7,0.775183,73.3360,0.842516,71.3800,0.099698
8,0.750828,74.1780,1.004423,66.8300,0.099606
9,0.723632,75.1860,0.881998,70.1800,0.099501
10,0.697545,76.1340,0.891483,70.3700,0.099384
11,0.692223,76.3640,0.799999,72.2500,0.099255
12,0.673875,77.0760,0.910430,68.9000,0.099114
13,0.665777,77.0760,0.958470,69.5000,0.098961
14,0.648776,77.7900,0.767866,73.3500,0.098796
15,0.644605,78.0880,1.010301,67.4200,0.098618
16,0.636866,78.2720,0.795497,73.0700,0.098429
17,0.628439,78.4740,0.957154,67.9900,0.098228
18,0.627512,78.5020,1.013816,65.9100,0.098015
19,0.619038,78.8940,1.137586,62.7200,0.097790
20,0.616176,79.0320,0.908820,70.3100,0.097553
21,0.605012,79.4000,0.857477,70.8300,0.097304
22,0.602509,79.5620,1.061355,67.6600,0.097044
23,0.597164,79.4300,0.716976,75.3300,0.096772
24,0.592339,79.6680,0.832440,72.0000,0.096489
25,0.592129,79.7800,0.840851,72.1100,0.096194
26,0.588385,80.0680,1.040097,69.0700,0.095888
27,0.589767,79.8100,0.884292,70.6800,0.095570
28,0.579750,80.3380,0.787390,73.8200,0.095241
29,0.580242,80.3520,0.749562,74.5400,0.094901
30,0.573345,80.4820,1.041331,67.2400,0.094550
31,0.577156,80.3560,1.164029,65.8700,0.094188
32,0.566036,80.9220,1.573231,58.8300,0.093815
33,0.568983,80.6640,0.851894,72.8700,0.093432
34,0.562174,80.7360,1.035247,63.4900,0.093037
35,0.559159,80.9160,0.948095,69.3000,0.092632
36,0.556893,81.0520,0.953771,68.1300,0.092216
37,0.559429,81.0500,0.841180,71.7100,0.091790
38,0.557627,81.0240,1.029137,67.2600,0.091354
39,0.554428,81.2840,0.992325,67.7900,0.090907
40,0.553670,81.1220,0.802553,73.6600,0.090451
41,0.547584,81.3680,0.973237,69.9100,0.089984
