epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.029327,24.4360,2.076749,23.7400,0.099994
2,1.876400,28.3560,2.123292,23.0500,0.099975
3,1.831901,30.1860,2.008764,27.8800,0.099944
4,1.822674,30.7020,2.726187,18.2400,0.099901
5,1.816967,31.1240,2.003120,25.9700,0.099846
6,1.817231,31.5140,2.028575,25.1800,0.099778
7,1.801545,32.3360,1.744240,34.7500,0.099698
8,1.802002,32.0440,1.785450,31.4500,0.099606
9,1.800263,32.3340,2.585121,25.1500,0.099501
10,1.803984,32.4240,2.561238,22.5500,0.099384
11,1.804721,32.3380,2.892891,19.8900,0.099255
12,1.799466,32.3140,1.941089,29.4200,0.099114
13,1.788568,32.8440,2.191279,22.7800,0.098961
14,1.788837,32.5060,2.011329,27.3500,0.098796
15,1.792094,32.5800,2.376985,26.2500,0.098618
16,1.782791,32.8560,2.087826,27.5100,0.098429
17,1.789263,32.9560,2.070074,24.6600,0.098228
18,1.786793,33.3540,2.055637,28.2400,0.098015
19,1.794203,32.7820,2.218472,24.5500,0.097790
20,1.782765,33.4500,2.005447,29.8200,0.097553
21,1.793034,32.8000,2.260757,24.6700,0.097304
22,1.781777,33.2880,1.981501,28.6300,0.097044
23,1.785531,33.0560,3.470854,15.0200,0.096772
24,1.795598,32.5260,2.665269,17.6700,0.096489
25,1.789870,32.6500,1.890503,27.9000,0.096194
26,1.790284,32.8880,2.391427,26.8900,0.095888
27,1.793326,32.4600,2.231875,24.1400,0.095570
28,1.787300,33.1480,2.057101,26.8900,0.095241
29,1.778594,33.1180,2.461874,23.2000,0.094901
30,1.788154,32.9580,2.307969,26.3600,0.094550
31,1.776907,33.4660,2.077564,26.8400,0.094188
32,1.787221,33.0520,2.311540,22.8600,0.093815
33,1.778946,32.9880,1.985168,29.6500,0.093432
34,1.781671,33.4800,3.188938,15.5300,0.093037
35,1.782301,32.6940,2.427850,22.4200,0.092632
36,1.785710,33.0180,2.548439,21.6700,0.092216
37,1.777659,33.3480,1.846745,31.7500,0.091790
38,1.778552,33.3220,1.861685,30.6900,0.091354
39,1.786273,33.2520,2.442928,25.0100,0.090907
40,1.771198,33.8620,3.121558,19.0900,0.090451
41,1.781783,32.9720,2.277609,25.1900,0.089984
42,1.777289,33.5680,2.059373,26.9800,0.089508
43,1.782610,33.2780,2.017109,24.5500,0.089022
44,1.775799,33.1080,1.929940,30.5100,0.088526
45,1.771852,33.5180,2.220013,24.7600,0.088020
46,1.776632,33.0720,2.191787,25.9500,0.087506
47,1.775960,33.4000,1.901510,28.0600,0.086982
48,1.776982,33.2860,1.974329,32.5200,0.086448
49,1.762624,33.9460,2.012165,25.7900,0.085906
50,1.774077,33.4140,1.959877,31.0600,0.085355
51,1.773546,33.4820,1.967460,25.2500,0.084796
52,1.774490,33.4080,4.392024,12.7200,0.084227
53,1.776293,33.3780,1.878620,31.2700,0.083651
54,1.776628,33.4140,2.882148,17.4200,0.083066
55,1.763134,33.7300,1.783646,32.8500,0.082472
56,1.765819,33.9540,1.865292,31.5700,0.081871
57,1.767259,33.6760,1.744063,34.0000,0.081262
58,1.762170,33.9540,2.477099,20.3800,0.080645
59,1.758927,33.9260,2.646279,17.5200,0.080021
60,1.769974,33.7360,1.895234,31.4100,0.079389
61,1.752233,34.1400,1.737433,35.9100,0.078750
62,1.762987,33.9260,1.829218,34.1000,0.078104
63,1.760841,33.6620,2.188437,26.0700,0.077451
64,1.758425,34.1500,2.015284,27.9100,0.076791
65,1.761487,33.8960,2.203966,27.5200,0.076125
66,1.761854,33.7800,1.751159,34.4600,0.075452
67,1.754347,34.2600,2.352918,24.9800,0.074773
68,1.758285,33.9520,1.973919,27.9500,0.074088
69,1.750648,34.2560,1.968547,29.1900,0.073396
70,1.752780,34.1660,1.842311,32.1300,0.072700
71,1.747853,34.5640,2.194774,25.2900,0.071997
72,1.754269,34.3960,1.721722,34.4000,0.071289
73,1.750945,34.7060,2.015973,25.0900,0.070576
74,1.750800,34.1140,2.106148,26.5100,0.069857
75,1.757139,34.1380,2.260960,25.4700,0.069134
76,1.750562,34.4820,1.911667,29.2600,0.068406
77,1.753502,34.1580,1.740770,34.2400,0.067674
78,1.751626,34.4380,4.180843,15.5800,0.066937
79,1.741784,34.6000,2.067016,27.4300,0.066196
80,1.743496,34.5160,1.859455,30.4700,0.065451
81,1.747013,34.6020,1.934743,31.8000,0.064702
82,1.747960,34.2140,1.773652,34.3000,0.063950
83,1.736595,34.8580,2.921946,17.2600,0.063194
84,1.736128,34.9240,1.817738,32.4100,0.062434
85,1.741858,34.6860,1.941480,31.2600,0.061672
86,1.740152,34.7020,1.744746,34.6100,0.060907
87,1.737066,34.7660,1.924093,26.9800,0.060139
88,1.738968,34.8040,1.904523,30.4700,0.059369
89,1.734415,35.0540,2.061440,27.3000,0.058596
90,1.735506,35.2020,1.781212,33.0500,0.057822
91,1.732916,35.0680,2.017446,30.6700,0.057045
92,1.728896,35.1240,2.633529,23.7800,0.056267
93,1.729220,35.2580,1.950068,28.2000,0.055487
94,1.730651,35.1300,1.713568,36.6500,0.054705
95,1.730037,35.3160,2.032108,30.4500,0.053923
96,1.725952,35.2440,1.936498,32.4000,0.053140
97,1.732665,35.2240,2.031407,28.0500,0.052355
98,1.721785,35.1880,1.719956,35.4600,0.051571
99,1.724866,35.2340,1.943476,29.4900,0.050785
100,1.714990,35.9700,1.746637,33.8200,0.050000
101,1.725204,35.3420,2.020743,26.4400,0.049215
102,1.718007,35.9140,1.954168,30.6600,0.048429
103,1.718884,35.6980,1.821699,34.3400,0.047645
104,1.717127,35.9700,1.847789,31.2000,0.046860
105,1.708320,36.3860,1.728322,37.6500,0.046077
106,1.710674,36.2300,1.855775,32.6100,0.045295
107,1.712337,36.0680,1.961396,27.9500,0.044513
108,1.703927,36.3520,1.773026,34.7900,0.043733
109,1.700541,36.5520,1.764149,33.5300,0.042955
110,1.700030,36.7320,2.316535,23.0300,0.042178
111,1.696822,37.0260,1.780728,34.9300,0.041404
112,1.692285,37.0260,2.122695,26.8500,0.040631
113,1.694378,36.6240,2.007363,30.2800,0.039861
