epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.570265,42.2340,1.592653,45.6900,0.099994
2,1.195088,57.2620,1.463790,50.0000,0.099975
3,1.023205,63.6140,1.853172,46.1100,0.099944
4,0.904643,68.1180,0.984812,65.5700,0.099901
5,0.822495,71.2960,1.121554,60.6600,0.099846
6,0.769715,73.3480,0.945502,68.0900,0.099778
7,0.724457,74.9280,1.807022,51.8100,0.099698
8,0.695958,75.9780,0.890669,68.7300,0.099606
9,0.658549,77.3800,0.950880,67.0600,0.099501
10,0.637630,78.1020,1.411260,59.0500,0.099384
11,0.629547,78.5780,1.115083,63.8100,0.099255
12,0.604165,79.3240,1.731207,57.4000,0.099114
13,0.600164,79.5940,1.222921,60.7400,0.098961
14,0.580851,80.1880,0.750877,74.8700,0.098796
15,0.568813,80.5180,1.278336,60.3100,0.098618
16,0.562911,80.5940,0.928885,70.3600,0.098429
17,0.557549,80.9400,1.044818,66.7600,0.098228
18,0.539940,81.4880,1.600938,59.4300,0.098015
19,0.540263,81.4760,1.028730,69.1800,0.097790
20,0.532375,81.9020,1.078168,64.9500,0.097553
21,0.524182,82.0200,0.977274,69.3800,0.097304
22,0.517786,82.3860,0.986004,67.4800,0.097044
23,0.509177,82.8200,0.882549,71.1400,0.096772
24,0.513626,82.4460,0.946243,69.8900,0.096489
25,0.507757,82.7000,1.031375,70.3100,0.096194
26,0.500160,82.9240,0.818002,74.0200,0.095888
27,0.496835,83.0560,1.124951,67.9100,0.095570
28,0.491660,83.1440,0.910491,72.2900,0.095241
29,0.486620,83.4880,0.894186,70.6400,0.094901
30,0.487106,83.4840,1.197747,65.8500,0.094550
31,0.491161,83.2340,0.735641,76.2600,0.094188
32,0.477832,83.8280,1.007324,69.7900,0.093815
33,0.481723,83.6820,0.786090,75.8400,0.093432
34,0.476142,83.8340,0.895268,72.5500,0.093037
35,0.480328,83.6960,0.899166,70.8400,0.092632
36,0.466500,84.0760,1.088241,68.0700,0.092216
37,0.467093,84.1360,0.955823,70.8300,0.091790
38,0.473186,83.7860,1.704200,59.3900,0.091354
39,0.465553,84.3160,1.164791,68.8200,0.090907
40,0.461320,84.1520,0.914884,70.6700,0.090451
41,0.460092,84.2960,0.927947,73.3200,0.089984
42,0.458904,84.3160,0.750917,75.4300,0.089508
43,0.464023,84.1620,0.903652,71.6000,0.089022
44,0.457016,84.3380,0.758109,75.7400,0.088526
45,0.456099,84.6420,0.912951,72.4300,0.088020
46,0.451936,84.5900,1.169772,64.9600,0.087506
47,0.444769,84.7980,0.824343,74.6500,0.086982
48,0.447635,84.8320,0.760146,75.4100,0.086448
49,0.444856,84.9220,0.754526,75.2400,0.085906
50,0.446809,84.7960,0.982258,72.3300,0.085355
51,0.447912,84.6960,0.985229,69.4500,0.084796
52,0.444409,84.9400,0.693822,77.8300,0.084227
53,0.434363,85.2600,0.939303,69.9700,0.083651
54,0.440035,84.9520,1.039817,69.4300,0.083066
55,0.441418,85.1760,0.762339,75.4000,0.082472
56,0.434116,85.2640,0.896298,72.3400,0.081871
57,0.436485,85.0560,0.716200,76.9700,0.081262
58,0.432304,85.2280,0.985921,69.3700,0.080645
59,0.432012,85.4700,0.795776,74.9700,0.080021
60,0.427644,85.4400,0.871784,74.0900,0.079389
61,0.426094,85.4660,0.793528,75.0800,0.078750
62,0.433677,85.2240,0.914716,72.4700,0.078104
63,0.423701,85.3940,0.789320,74.4900,0.077451
64,0.420900,85.7140,0.663365,78.4600,0.076791
65,0.426560,85.6300,0.853991,73.2200,0.076125
66,0.423230,85.6060,0.702611,78.6600,0.075452
67,0.417283,85.6780,0.839955,73.2300,0.074773
68,0.419171,85.7580,0.964151,71.5600,0.074088
69,0.411661,86.1620,1.171824,66.6600,0.073396
70,0.416116,85.9740,0.918009,73.4900,0.072700
71,0.415913,85.9160,0.917603,72.3900,0.071997
72,0.414094,85.9560,0.844993,73.5100,0.071289
73,0.407253,86.2260,0.924407,72.3800,0.070576
74,0.405415,86.2560,0.694423,78.0300,0.069857
75,0.410893,86.1080,0.603073,80.1300,0.069134
76,0.395375,86.4540,1.003550,71.9700,0.068406
77,0.398889,86.4420,0.869611,73.7500,0.067674
78,0.400870,86.4760,0.764386,75.2100,0.066937
79,0.397298,86.3740,0.823207,74.8700,0.066196
80,0.396921,86.5680,0.822703,74.5900,0.065451
81,0.393984,86.5480,0.772988,75.9600,0.064702
82,0.390644,86.7020,0.949056,69.9800,0.063950
83,0.393217,86.6460,1.198669,68.1000,0.063194
84,0.387329,86.8840,0.746272,76.1800,0.062434
85,0.385740,86.9600,0.664462,78.0400,0.061672
86,0.381076,87.1520,1.175147,68.2200,0.060907
87,0.388063,86.7800,0.541559,82.1100,0.060139
88,0.384236,87.0040,0.624056,79.2300,0.059369
89,0.386508,86.8180,0.867644,72.8500,0.058596
90,0.378304,87.1840,0.685655,78.6800,0.057822
91,0.381392,87.0240,0.670458,79.5600,0.057045
92,0.374004,87.3560,0.768339,75.2900,0.056267
93,0.367626,87.4780,0.695253,77.3900,0.055487
94,0.373838,87.3920,1.291247,66.6900,0.054705
95,0.368731,87.4540,0.774110,75.8600,0.053923
96,0.363875,87.5800,1.069980,68.3800,0.053140
97,0.363360,87.5500,0.658157,78.2000,0.052355
98,0.370234,87.2000,0.740167,76.1900,0.051571
99,0.358081,87.8360,0.618796,80.2200,0.050785
100,0.357375,87.8180,0.701910,78.5700,0.050000
101,0.356102,88.0640,0.725994,78.0200,0.049215
102,0.353661,87.9640,1.042809,70.2700,0.048429
103,0.354703,87.8660,0.772234,75.6800,0.047645
104,0.352321,88.0180,0.537492,81.7700,0.046860
105,0.349436,88.2220,0.983591,71.5500,0.046077
106,0.337965,88.5620,1.194593,68.2800,0.045295
107,0.341555,88.2900,0.654139,79.1900,0.044513
108,0.345990,88.1900,0.655838,79.9600,0.043733
109,0.337720,88.5260,0.608447,80.0800,0.042955
110,0.341297,88.3140,0.716810,76.8700,0.042178
111,0.334799,88.8300,0.847383,74.0100,0.041404
112,0.336042,88.6340,0.825219,73.4700,0.040631
113,0.326403,88.9160,0.783976,76.1900,0.039861
114,0.327346,88.8600,0.591671,81.6900,0.039093
115,0.328405,88.8920,0.623491,80.1000,0.038328
116,0.326589,88.9520,0.531605,82.9500,0.037566
117,0.319250,89.1820,1.162030,68.4500,0.036806
118,0.317913,89.2700,0.525656,83.0100,0.036050
119,0.313175,89.3380,0.752965,76.8600,0.035298
120,0.307689,89.6220,0.611621,80.5100,0.034549
121,0.311310,89.3840,0.663006,78.6000,0.033804
122,0.309877,89.3460,0.584344,80.4300,0.033063
123,0.301828,89.8640,0.605151,80.9600,0.032326
124,0.300847,89.7760,0.718361,78.4000,0.031594
125,0.306680,89.5040,0.493520,84.1700,0.030866
126,0.295515,90.2220,0.574363,81.7700,0.030143
127,0.293426,90.0820,0.831370,76.7700,0.029424
128,0.289592,90.2040,0.889169,75.1400,0.028711
129,0.288861,90.2660,0.502285,84.1900,0.028003
130,0.286212,90.4060,0.968594,72.4300,0.027300
131,0.287314,90.1840,0.590820,80.1600,0.026604
132,0.282558,90.4720,0.587255,80.8200,0.025912
133,0.272908,90.7320,0.565686,81.0600,0.025227
134,0.272015,90.7700,0.642744,79.9900,0.024548
135,0.270347,90.8940,0.664052,80.3600,0.023875
136,0.269281,90.9560,0.462911,85.0300,0.023209
137,0.266178,90.9920,0.504700,83.6200,0.022549
138,0.258142,91.4300,0.485035,84.1900,0.021896
139,0.259074,91.2620,0.529461,82.7700,0.021250
140,0.251023,91.6500,0.525281,83.3000,0.020611
141,0.254737,91.5120,0.520957,83.6200,0.019979
142,0.249834,91.4900,0.528726,83.1700,0.019355
143,0.244058,91.7200,0.572174,81.8500,0.018738
144,0.244694,91.8800,0.620303,81.2700,0.018129
145,0.239620,91.9540,0.517838,83.6800,0.017528
146,0.235635,92.1580,0.666710,80.5300,0.016934
147,0.237987,92.0100,0.532299,82.7600,0.016349
148,0.226628,92.4860,0.699306,79.2000,0.015773
149,0.225202,92.5140,0.561167,82.5500,0.015204
150,0.224742,92.4940,0.736010,79.0200,0.014645
151,0.218921,92.5920,0.548766,83.2400,0.014094
152,0.217000,92.8480,0.461465,85.1000,0.013552
153,0.211733,93.0860,0.637289,79.9900,0.013018
154,0.207024,93.0940,0.512517,84.5800,0.012494
155,0.200672,93.4320,0.439268,85.5100,0.011980
156,0.198755,93.4140,0.496454,84.4900,0.011474
157,0.197907,93.4220,0.653491,80.8300,0.010978
158,0.195530,93.4960,0.502264,84.0900,0.010492
159,0.188867,93.8800,0.459136,85.8500,0.010016
160,0.187165,93.9560,0.447482,85.4800,0.009549
161,0.182195,93.9640,0.591112,82.2300,0.009093
162,0.181852,94.0760,0.472363,84.9100,0.008646
163,0.176576,94.3540,0.451696,85.5500,0.008210
164,0.170992,94.5340,0.420110,86.5700,0.007784
165,0.169092,94.6260,0.456386,85.3200,0.007368
166,0.168293,94.6300,0.558493,82.9900,0.006963
167,0.162991,94.8720,0.556949,82.7800,0.006568
168,0.158688,94.9640,0.442383,86.0100,0.006185
169,0.155506,95.0380,0.440968,86.2700,0.005812
170,0.153765,95.1960,0.460284,85.7800,0.005450
171,0.149123,95.4100,0.435232,86.2900,0.005099
172,0.145862,95.4480,0.495549,84.9200,0.004759
173,0.144200,95.4880,0.452062,85.8800,0.004430
174,0.138861,95.7180,0.437374,86.7000,0.004112
175,0.137077,95.8840,0.432769,86.6500,0.003806
176,0.133544,95.9840,0.438116,86.6500,0.003511
177,0.131526,95.9360,0.417719,86.9800,0.003228
178,0.129257,96.0780,0.404535,87.4100,0.002956
179,0.126055,96.2720,0.441486,86.3500,0.002696
180,0.122300,96.4100,0.410553,87.3600,0.002447
181,0.123484,96.3000,0.409460,87.0900,0.002210
182,0.118228,96.5640,0.396138,87.6800,0.001985
183,0.116852,96.6460,0.390411,87.5900,0.001772
184,0.117350,96.5560,0.393676,87.7600,0.001571
185,0.113753,96.8040,0.393413,87.7700,0.001382
186,0.112452,96.8040,0.390359,88.0100,0.001204
187,0.110879,96.8340,0.394274,87.6800,0.001039
188,0.107419,97.0640,0.396703,88.0300,0.000886
189,0.106922,97.0280,0.387506,87.9900,0.000745
190,0.106748,96.9980,0.389426,87.9400,0.000616
191,0.102794,97.2180,0.389282,88.0000,0.000499
192,0.107018,97.0480,0.391963,87.8400,0.000394
193,0.103807,97.1460,0.388478,88.0600,0.000302
194,0.103710,97.1280,0.388017,88.1200,0.000222
195,0.102555,97.2700,0.388311,88.1200,0.000154
196,0.101817,97.3640,0.389759,88.0800,0.000099
197,0.101115,97.3420,0.387668,88.2400,0.000056
198,0.099990,97.3720,0.388081,88.1900,0.000025
199,0.102413,97.2360,0.387938,88.1700,0.000006
200,0.101017,97.3200,0.390341,88.1500,0.000000
