epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.561576,42.3880,1.971860,39.3800,0.099975
2,1.135302,59.1940,1.374329,53.5400,0.099901
3,0.963757,66.0640,1.191039,60.0000,0.099778
4,0.872608,69.4720,1.192563,60.9800,0.099606
5,0.811936,71.7200,1.117384,63.7000,0.099384
6,0.765517,73.5540,1.208635,63.2100,0.099114
7,0.738502,74.6040,0.930545,69.1600,0.098796
8,0.715456,75.4800,0.999313,66.8800,0.098429
9,0.692796,75.9920,0.935032,69.0900,0.098015
10,0.674934,76.8080,0.972915,70.2700,0.097553
11,0.665430,77.2380,1.298687,60.7800,0.097044
12,0.650807,77.6540,1.075204,62.9400,0.096489
13,0.648604,77.6260,0.865901,69.9700,0.095888
14,0.631427,78.4600,0.874313,72.6200,0.095241
15,0.624971,78.5960,1.449260,57.9600,0.094550
16,0.615412,78.9900,0.841350,72.6900,0.093815
17,0.612234,78.9340,1.142761,66.4700,0.093037
18,0.609133,79.2720,0.759403,73.5600,0.092216
19,0.602073,79.6240,1.649588,58.7900,0.091354
20,0.592173,79.8380,0.924238,69.6700,0.090451
21,0.584215,80.1300,1.086149,66.0700,0.089508
22,0.586337,79.9740,1.208853,64.2600,0.088526
23,0.577333,80.1780,1.004003,70.4500,0.087506
24,0.573127,80.5080,0.817898,72.0000,0.086448
25,0.569392,80.4440,1.028394,68.0900,0.085355
26,0.567457,80.6860,0.809833,73.0900,0.084227
27,0.565007,80.7800,0.778712,74.5000,0.083066
28,0.557831,81.1020,0.840645,73.5900,0.081871
29,0.555388,81.0820,0.935812,69.8400,0.080645
30,0.549510,81.2920,0.839917,72.2200,0.079389
31,0.551765,81.2880,1.021018,68.4400,0.078104
32,0.535922,81.9400,0.890588,71.4700,0.076791
33,0.541590,81.7540,0.752380,74.3900,0.075452
34,0.528077,82.1280,0.970405,69.5200,0.074088
35,0.532251,81.8600,1.188303,63.0700,0.072700
36,0.528250,81.9960,1.094837,64.5600,0.071289
37,0.527960,82.1160,1.024903,65.2900,0.069857
38,0.521080,82.3060,0.749453,74.2600,0.068406
39,0.512678,82.5940,0.810469,73.6400,0.066937
40,0.511427,82.4440,0.780047,75.2000,0.065451
41,0.512249,82.5900,1.060170,69.9100,0.063950
42,0.504811,82.7680,0.663348,77.0800,0.062434
43,0.501962,82.8360,0.965582,70.3200,0.060907
44,0.495458,83.2220,1.074735,68.2000,0.059369
45,0.485799,83.4760,0.762804,75.6600,0.057822
46,0.485599,83.4360,0.730155,75.1500,0.056267
47,0.476941,83.8140,0.888642,71.0200,0.054705
48,0.476586,83.7880,0.712204,76.9200,0.053140
49,0.469606,83.9220,0.681232,77.0800,0.051571
50,0.469277,84.0180,0.857661,73.0800,0.050000
51,0.464086,84.2220,1.218585,65.2000,0.048429
52,0.461474,84.4140,0.570434,80.9700,0.046860
53,0.455539,84.5060,0.627728,78.9400,0.045295
54,0.446256,84.9220,0.717011,76.3800,0.043733
55,0.441803,84.8840,0.805749,73.9400,0.042178
56,0.439403,85.2900,0.582236,80.0200,0.040631
57,0.434164,85.3600,0.681424,77.6400,0.039093
58,0.426577,85.4420,0.767406,74.4600,0.037566
59,0.423323,85.5620,1.004965,69.1800,0.036050
60,0.415154,85.9500,0.823842,73.8800,0.034549
61,0.405701,86.2800,0.675284,78.9700,0.033063
62,0.407950,86.0980,0.781483,74.1500,0.031594
63,0.397070,86.6180,0.609250,80.2400,0.030143
64,0.386208,86.8800,0.589079,80.1800,0.028711
65,0.380308,87.1580,0.645281,78.9800,0.027300
66,0.381865,87.0100,0.652406,79.0400,0.025912
67,0.368945,87.6660,0.575757,81.4500,0.024548
68,0.362425,87.7880,0.623339,80.0100,0.023209
69,0.360107,87.8080,0.598827,80.6000,0.021896
70,0.349232,88.1760,0.562852,81.3200,0.020611
71,0.346967,88.1520,0.740103,77.6800,0.019355
72,0.339878,88.5840,0.588370,81.2300,0.018129
73,0.329417,88.8220,0.541093,81.6700,0.016934
74,0.319033,89.3540,0.556662,81.6300,0.015773
75,0.318069,89.3540,0.680208,78.8500,0.014645
76,0.308594,89.6700,0.595947,81.6100,0.013552
77,0.298765,90.0000,0.597722,80.8800,0.012494
78,0.293404,90.1140,0.497501,83.6100,0.011474
79,0.285603,90.3880,0.515724,83.2100,0.010492
80,0.275115,90.8100,0.516007,83.7600,0.009549
81,0.267331,91.0100,0.503535,84.0500,0.008646
82,0.258580,91.3840,0.483821,83.7900,0.007784
83,0.251762,91.6620,0.615630,80.7800,0.006963
84,0.240185,92.0920,0.460656,85.0500,0.006185
85,0.238543,91.9900,0.521736,82.8500,0.005450
86,0.227243,92.4720,0.446556,85.6300,0.004759
87,0.218755,92.8460,0.430549,85.8700,0.004112
88,0.213178,93.0520,0.403213,87.1000,0.003511
89,0.204209,93.4560,0.405975,86.9500,0.002956
90,0.199814,93.6220,0.398271,87.2700,0.002447
91,0.188625,94.0960,0.412252,86.6400,0.001985
92,0.185585,94.2500,0.401059,87.1700,0.001571
93,0.183129,94.3360,0.389221,87.2700,0.001204
94,0.177481,94.4600,0.391087,87.3400,0.000886
95,0.174411,94.5880,0.380373,87.4500,0.000616
96,0.171643,94.7800,0.379966,87.5200,0.000394
97,0.168821,94.8840,0.379025,87.6300,0.000222
98,0.164298,95.0180,0.380248,87.5400,0.000099
99,0.164663,95.0760,0.379235,87.5900,0.000025
100,0.163747,95.1000,0.377033,87.7300,0.000000
