epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.561576,42.3880,1.971860,39.3800,0.099994
2,1.136763,59.1720,1.219186,57.4100,0.099975
3,0.963777,65.9740,1.118233,61.9200,0.099944
4,0.872053,69.5220,1.382984,56.7800,0.099901
5,0.809814,71.8940,0.945617,67.5500,0.099846
6,0.762500,73.6700,1.276347,61.8300,0.099778
7,0.737948,74.4320,1.003801,67.9900,0.099698
8,0.718528,75.2220,1.076195,65.1400,0.099606
9,0.691053,76.3060,0.927546,69.0100,0.099501
10,0.675886,76.8440,0.871460,70.7600,0.099384
11,0.668080,77.1160,1.677173,52.2800,0.099255
12,0.651841,77.5440,1.200756,62.0000,0.099114
13,0.652540,77.5880,1.228380,61.5600,0.098961
14,0.635046,78.3040,0.908152,71.0400,0.098796
15,0.628537,78.5260,1.205458,63.6500,0.098618
16,0.627814,78.5680,0.971051,67.8400,0.098429
17,0.619143,78.7780,0.907932,69.9200,0.098228
18,0.618225,78.8940,0.964585,70.1500,0.098015
19,0.614566,79.0440,0.990682,68.0500,0.097790
20,0.603715,79.3120,0.910748,70.5200,0.097553
21,0.595728,79.7360,1.109512,64.6600,0.097304
22,0.598735,79.4660,0.922190,69.5200,0.097044
23,0.593167,79.6100,0.735874,75.6700,0.096772
24,0.586795,79.8560,0.778652,73.6300,0.096489
25,0.589430,79.7640,2.045177,49.5600,0.096194
26,0.585140,80.0020,0.999266,69.3200,0.095888
27,0.589523,80.0600,0.799981,73.4400,0.095570
28,0.580570,80.2540,1.141330,66.4600,0.095241
29,0.580104,80.3200,1.140348,65.4100,0.094901
30,0.579763,80.0960,0.856922,71.6700,0.094550
31,0.573985,80.4700,1.076022,67.8900,0.094188
32,0.571581,80.5380,1.176427,65.4700,0.093815
33,0.570018,80.7440,0.719848,75.3500,0.093432
34,0.561578,80.8580,1.468655,58.5700,0.093037
35,0.568642,80.5020,0.929708,68.5800,0.092632
36,0.563735,80.7540,1.346694,59.4100,0.092216
37,0.569516,80.4520,0.821886,71.6900,0.091790
38,0.566088,80.6820,0.935676,71.2000,0.091354
39,0.556580,81.1740,1.158646,63.5700,0.090907
40,0.559833,81.0380,0.721039,75.5700,0.090451
41,0.559449,80.9140,0.818716,73.5900,0.089984
42,0.558620,80.9140,0.919249,71.1600,0.089508
43,0.558186,80.9320,1.149805,68.3300,0.089022
44,0.551436,81.3380,0.882011,72.5500,0.088526
45,0.545451,81.2900,1.119123,64.2000,0.088020
46,0.547934,81.3880,0.876714,71.1600,0.087506
47,0.547256,81.4160,1.013418,68.3300,0.086982
48,0.548586,81.3200,0.909874,70.3500,0.086448
49,0.545309,81.4620,1.055876,64.4800,0.085906
50,0.545235,81.5320,0.805406,73.6200,0.085355
51,0.536032,81.8040,1.049759,66.3200,0.084796
52,0.544723,81.2940,0.799921,73.0200,0.084227
53,0.541705,81.7660,0.744844,75.1200,0.083651
54,0.542181,81.7600,0.829757,73.9500,0.083066
55,0.539609,81.4980,1.088290,67.3500,0.082472
56,0.532029,82.0420,0.816485,71.7000,0.081871
57,0.536959,81.8040,0.885881,70.6100,0.081262
58,0.534022,82.0000,1.011928,68.5000,0.080645
59,0.524703,82.2140,1.269318,62.4300,0.080021
60,0.528240,81.9340,1.046841,69.3500,0.079389
61,0.525703,82.1480,0.862568,73.8100,0.078750
62,0.525948,82.0460,0.815254,74.4600,0.078104
63,0.521823,82.2860,0.772711,74.5200,0.077451
64,0.517446,82.4040,0.822958,71.4800,0.076791
65,0.517343,82.5060,0.776501,73.6700,0.076125
66,0.517911,82.3980,0.805926,73.9900,0.075452
67,0.516975,82.2980,0.784253,74.3900,0.074773
68,0.507057,82.9260,0.765911,76.4100,0.074088
69,0.515992,82.3300,0.962827,69.0200,0.073396
70,0.504979,82.8840,0.882036,71.2200,0.072700
71,0.510417,82.5500,2.327522,49.4400,0.071997
72,0.511625,82.5700,0.800933,72.3700,0.071289
73,0.505867,82.9220,0.966091,69.4800,0.070576
74,0.496428,83.4020,0.833266,71.9800,0.069857
75,0.499822,83.1380,0.862964,73.1300,0.069134
76,0.501421,82.8460,0.911601,72.0000,0.068406
77,0.499542,82.9260,0.893899,72.8100,0.067674
78,0.498562,83.0260,1.024333,70.6000,0.066937
79,0.491500,83.2500,1.093289,67.2700,0.066196
80,0.488659,83.5280,0.911643,71.9600,0.065451
81,0.490205,83.4560,0.790114,75.7600,0.064702
82,0.491614,83.2000,0.749795,76.1900,0.063950
83,0.480224,83.7340,0.833390,72.6100,0.063194
84,0.480320,83.6760,0.706961,76.9300,0.062434
85,0.482287,83.5480,0.605376,79.4200,0.061672
86,0.486161,83.3460,1.138636,66.0500,0.060907
87,0.476627,83.8780,0.716363,77.0000,0.060139
88,0.476451,83.9260,0.735798,75.4300,0.059369
89,0.477246,83.6400,1.132449,66.5200,0.058596
90,0.471256,84.1180,0.993664,68.8800,0.057822
91,0.470042,84.0600,0.624263,79.4700,0.057045
92,0.469563,84.0600,0.815328,73.3200,0.056267
93,0.467589,84.1160,0.789960,75.1000,0.055487
94,0.458681,84.6080,1.132214,65.9900,0.054705
95,0.461527,84.3040,0.954363,70.8800,0.053923
96,0.455592,84.5640,1.230372,65.7400,0.053140
97,0.455191,84.6000,1.023728,68.4300,0.052355
98,0.454629,84.4700,0.869101,71.2800,0.051571
99,0.449570,84.7040,0.745902,75.5600,0.050785
100,0.451827,84.6940,0.745534,75.5000,0.050000
101,0.446686,84.9180,0.583150,80.6800,0.049215
102,0.442955,84.8880,0.723989,77.0200,0.048429
103,0.442180,85.0920,0.666260,77.9300,0.047645
104,0.445527,84.7900,0.871617,73.4200,0.046860
105,0.440071,85.1460,0.706490,77.1400,0.046077
106,0.433709,85.1840,0.745643,76.9000,0.045295
107,0.436433,85.1360,0.796157,74.3200,0.044513
108,0.426733,85.5420,0.566957,80.4700,0.043733
109,0.430596,85.4280,0.672297,77.7000,0.042955
110,0.425066,85.4980,0.622563,78.9600,0.042178
111,0.414652,85.9540,0.946851,71.2400,0.041404
112,0.423248,85.6400,0.773657,75.7300,0.040631
