epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.452285,47.4840,1.537013,46.9300,0.010000
2,1.124817,60.5920,1.136648,59.9300,0.010000
3,1.006185,65.1720,1.140339,60.4000,0.010000
4,0.939044,67.3140,1.280776,57.0500,0.010000
5,0.887102,69.4880,1.045228,63.9500,0.010000
6,0.847824,70.7720,1.077502,64.7600,0.010000
7,0.813076,71.8540,0.899870,68.0300,0.010000
8,0.786163,72.9260,1.002074,65.9100,0.010000
9,0.761474,73.9800,0.961995,66.1600,0.010000
10,0.740049,74.6660,0.878235,69.5500,0.010000
11,0.724376,75.2400,0.931831,67.9300,0.010000
12,0.702121,76.0420,1.074382,64.6200,0.010000
13,0.691800,76.3740,0.773371,73.0700,0.010000
14,0.674193,77.0720,0.959107,66.4400,0.010000
15,0.662730,77.4220,1.119232,64.2000,0.010000
16,0.652408,77.8420,0.814127,72.4200,0.010000
17,0.641498,78.2060,0.755625,73.9900,0.010000
18,0.631170,78.5380,1.045997,65.1400,0.010000
19,0.621822,78.6460,0.897202,69.5800,0.010000
20,0.614037,79.1520,0.979528,67.5800,0.010000
21,0.603509,79.4700,0.923583,68.4700,0.010000
22,0.595845,79.6220,0.845561,71.7800,0.010000
23,0.589410,79.9500,1.131234,65.6000,0.010000
24,0.584838,80.0060,0.795199,72.6100,0.010000
25,0.573594,80.5200,0.822788,71.1600,0.010000
26,0.569927,80.5220,0.777768,74.2900,0.010000
27,0.564079,80.9220,0.676704,76.8600,0.010000
28,0.557821,81.0540,0.721859,75.5000,0.010000
29,0.551262,81.3440,0.692019,76.6100,0.010000
30,0.545762,81.4220,0.752535,74.4000,0.010000
31,0.544393,81.5600,0.700434,76.0200,0.010000
32,0.535320,81.9800,0.767900,73.9100,0.010000
33,0.534999,81.8300,0.833608,72.1800,0.010000
34,0.528679,82.1800,0.710796,75.6400,0.010000
35,0.523637,82.3340,0.659076,76.8600,0.010000
36,0.518158,82.4640,0.866209,71.1400,0.010000
37,0.517023,82.4080,0.643960,77.8200,0.010000
38,0.513349,82.4960,0.772008,74.1200,0.010000
39,0.508461,82.6960,0.693422,76.4200,0.010000
40,0.504793,82.7900,0.666995,77.6800,0.010000
41,0.500054,83.0500,0.711249,75.9700,0.010000
42,0.499022,83.1380,0.731408,75.4800,0.010000
43,0.492104,83.5300,0.645544,78.2600,0.010000
44,0.490079,83.4840,0.708398,76.0500,0.010000
45,0.485222,83.7380,0.653652,77.9700,0.010000
46,0.482979,83.6820,0.658003,77.2400,0.010000
47,0.481223,83.7320,0.683285,76.8700,0.010000
48,0.476558,83.9120,0.737005,74.5800,0.010000
49,0.473981,83.8160,0.639548,78.1100,0.010000
50,0.468934,84.3440,0.690975,76.2500,0.010000
51,0.467268,84.1540,0.719985,76.3500,0.010000
52,0.465108,84.3140,0.732571,75.8600,0.010000
53,0.463691,84.1600,0.585445,79.8800,0.010000
54,0.462282,84.4240,0.640413,78.2300,0.010000
55,0.457480,84.4280,0.689786,77.2200,0.010000
56,0.456171,84.6080,0.633277,78.6500,0.010000
57,0.454690,84.6180,0.606055,79.7200,0.010000
58,0.451102,84.6560,1.080536,68.1100,0.010000
59,0.447005,84.8180,0.631873,78.6600,0.010000
60,0.446114,85.0280,0.565136,80.4300,0.010000
61,0.440800,85.2040,0.740112,75.0300,0.010000
62,0.441812,85.1240,0.728373,75.8800,0.010000
63,0.436889,85.1420,0.593354,79.7400,0.010000
64,0.436383,85.2580,0.596689,80.1600,0.010000
65,0.436126,85.2340,0.629422,79.1900,0.010000
66,0.433049,85.2640,0.734980,75.9600,0.010000
67,0.429410,85.5080,0.601284,80.0000,0.010000
68,0.427361,85.6660,0.613374,79.1400,0.010000
69,0.425917,85.4700,0.589605,80.4300,0.010000
70,0.425577,85.7840,0.605085,80.0200,0.010000
71,0.423459,85.7220,0.588771,80.4400,0.010000
72,0.420740,85.7920,0.555995,81.0100,0.010000
73,0.418965,85.8620,0.562137,80.8700,0.010000
74,0.414472,86.0960,0.566663,81.0100,0.010000
75,0.415724,86.0140,0.577532,80.8100,0.010000
76,0.414677,85.8980,0.655785,78.6000,0.010000
77,0.411994,86.1540,0.777919,74.6400,0.010000
78,0.408682,86.3300,0.576171,80.7100,0.010000
79,0.408433,86.2400,0.608682,79.9000,0.010000
80,0.406856,86.0720,0.720936,77.0000,0.010000
81,0.405656,86.3380,0.570283,80.6600,0.010000
82,0.403451,86.4060,0.567713,80.5900,0.010000
83,0.403642,86.3620,0.661670,78.5300,0.010000
84,0.401849,86.3740,0.846402,73.2500,0.010000
85,0.399402,86.4880,0.551873,81.0000,0.010000
86,0.397133,86.7060,0.656865,78.3500,0.010000
87,0.396795,86.5080,0.871423,72.7500,0.010000
88,0.394986,86.6340,0.608620,79.4100,0.010000
89,0.394741,86.5900,0.596366,80.2300,0.010000
90,0.393474,86.6380,0.648896,78.7100,0.010000
91,0.388153,86.8080,0.574540,80.3500,0.010000
92,0.389229,86.8280,0.592274,80.7300,0.010000
93,0.385714,86.9700,0.581903,80.7900,0.010000
94,0.386208,86.9440,0.563604,80.8500,0.010000
95,0.383218,87.2060,0.629270,78.6700,0.010000
96,0.383256,86.9640,0.660702,78.5800,0.010000
97,0.382319,87.1280,0.562278,81.4900,0.010000
98,0.383006,87.0780,0.587327,80.3500,0.010000
99,0.379730,87.1960,0.746104,75.7400,0.010000
100,0.379601,87.2960,0.615457,79.6100,0.010000
101,0.375474,87.3660,0.638433,79.3000,0.010000
102,0.377110,87.3740,0.772882,76.0200,0.010000
103,0.373788,87.4460,0.620097,79.2500,0.010000
104,0.374468,87.3500,0.541843,81.4400,0.010000
105,0.372716,87.4660,0.557373,80.9500,0.010000
106,0.372623,87.3920,0.546604,81.9600,0.010000
107,0.372356,87.3260,0.593113,80.3300,0.010000
108,0.368414,87.5240,0.658894,78.9900,0.010000
109,0.368938,87.5760,0.561066,81.2100,0.010000
110,0.366517,87.6440,0.636074,79.4700,0.010000
111,0.362509,87.9240,0.663721,78.3400,0.010000
112,0.366538,87.6140,0.663198,78.1800,0.010000
113,0.364322,87.7520,0.628679,79.6500,0.010000
114,0.359899,87.8880,0.580981,80.7900,0.010000
115,0.361623,87.8040,0.608303,79.9600,0.010000
116,0.361168,87.8880,0.548215,81.5500,0.010000
117,0.359834,87.8500,0.676189,77.8600,0.010000
118,0.359816,87.8160,0.635072,79.8000,0.010000
119,0.358483,87.9480,0.558636,81.3900,0.010000
120,0.355962,88.0560,0.602332,79.8500,0.010000
121,0.354984,88.1380,0.624532,79.0200,0.010000
