epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.425932,48.6820,1.570306,49.2900,0.001000
2,1.111101,60.6820,1.207158,57.7600,0.001000
3,0.967605,66.4380,1.049995,64.7100,0.000999
4,0.877208,69.6280,1.176984,60.6700,0.000999
5,0.813649,72.1260,1.234098,59.5500,0.000998
6,0.763729,73.7240,1.051093,65.5500,0.000998
7,0.720787,75.0360,1.017832,66.3500,0.000997
8,0.691911,76.3260,0.929551,68.0000,0.000996
9,0.654999,77.5440,1.090784,65.1700,0.000995
10,0.627788,78.4540,0.686541,76.8200,0.000994
11,0.608585,79.0960,0.796154,72.9700,0.000993
