epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.412643,49.2160,1.750171,44.7100,0.001000
2,1.086027,61.8160,1.159485,59.4300,0.001000
3,0.939734,67.2400,1.221291,58.1500,0.000999
4,0.847144,70.4440,1.100359,62.3200,0.000999
5,0.781573,72.8660,0.861934,69.8400,0.000998
6,0.733193,74.6680,0.967746,67.5400,0.000998
7,0.690327,76.0700,0.816659,72.0000,0.000997
8,0.663240,77.1480,0.895192,70.1100,0.000996
9,0.631025,78.4580,1.335842,59.5800,0.000995
10,0.605854,79.4380,0.909322,70.0900,0.000994
11,0.591231,79.9520,0.840124,71.3400,0.000993
12,0.563991,80.6820,0.955722,69.7700,0.000991
13,0.551215,81.1920,0.866606,70.2700,0.000990
14,0.534323,81.6660,0.911228,69.8900,0.000988
15,0.516912,82.4280,0.961048,69.0200,0.000986
16,0.508241,82.7700,0.740305,76.0700,0.000984
17,0.496135,83.1400,0.795573,73.0300,0.000982
18,0.485841,83.6220,0.811779,73.5300,0.000980
19,0.477122,83.7460,0.785339,74.4400,0.000978
20,0.465028,84.0620,0.801376,73.7900,0.000976
21,0.458668,84.2620,0.695840,77.0600,0.000973
22,0.452832,84.6080,0.710283,77.3300,0.000970
23,0.444175,84.7540,0.749606,76.7700,0.000968
24,0.439751,84.9140,0.675685,77.7300,0.000965
25,0.433465,85.1520,0.605970,80.4600,0.000962
26,0.424536,85.5440,0.650888,79.2500,0.000959
27,0.422134,85.5500,0.568824,81.2700,0.000956
28,0.415357,85.8500,0.604348,80.5900,0.000952
29,0.410700,85.8900,0.654867,79.0600,0.000949
30,0.403501,86.3080,0.806349,75.5200,0.000946
31,0.402544,86.2960,0.576173,81.2600,0.000942
32,0.394891,86.6200,0.789272,76.2700,0.000938
33,0.393245,86.6460,0.781184,75.0700,0.000934
34,0.390740,86.6240,0.576195,81.4400,0.000930
35,0.385208,86.7680,0.668171,77.9900,0.000926
36,0.381130,86.7360,0.670455,78.7500,0.000922
37,0.378265,87.2020,0.600882,80.4300,0.000918
38,0.377608,87.0760,0.691495,78.0200,0.000914
39,0.370020,87.4240,0.811613,76.0800,0.000909
40,0.371038,87.2760,0.515946,83.2500,0.000905
41,0.367400,87.4260,0.654944,79.1200,0.000900
42,0.363576,87.6100,0.589695,81.1600,0.000895
43,0.361199,87.6480,0.653905,79.3900,0.000890
44,0.356976,87.6460,0.496212,84.0500,0.000885
45,0.353999,88.0400,0.663199,79.2900,0.000880
46,0.350744,88.1040,0.561548,82.3800,0.000875
47,0.349434,87.9420,0.569022,81.5900,0.000870
48,0.345845,88.2140,0.606131,80.9700,0.000864
49,0.345345,88.2300,0.558568,81.9500,0.000859
50,0.339457,88.3620,0.718667,77.6500,0.000854
51,0.337773,88.5280,0.682799,79.1800,0.000848
52,0.336658,88.5020,0.526006,82.9200,0.000842
53,0.334876,88.5760,0.586836,81.0500,0.000837
54,0.332019,88.6660,0.523517,82.9700,0.000831
55,0.330437,88.6940,0.582519,81.7900,0.000825
56,0.328043,88.8540,0.619435,80.2500,0.000819
57,0.326783,88.8280,0.531099,82.5500,0.000813
58,0.323488,88.9640,0.554276,82.7700,0.000806
59,0.322737,88.9300,0.546058,82.1700,0.000800
60,0.317743,89.2080,0.581205,81.3300,0.000794
61,0.315058,89.3080,0.532735,83.2200,0.000788
62,0.315917,89.1920,0.595397,80.9400,0.000781
63,0.313240,89.1920,0.555531,82.0600,0.000775
64,0.307224,89.6140,0.545907,82.6000,0.000768
65,0.308680,89.5040,0.522775,83.5600,0.000761
66,0.306058,89.5900,0.501621,84.1500,0.000755
67,0.300085,89.7120,0.567904,82.2300,0.000748
68,0.302538,89.4800,0.582887,82.0100,0.000741
69,0.300406,89.7620,0.533060,82.4700,0.000734
70,0.294579,89.9520,0.585425,81.2000,0.000727
71,0.296461,89.8420,0.641806,80.1900,0.000720
