epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.449816,46.8300,1.339039,53.3600,0.099994
2,1.045927,62.8720,1.249789,56.6300,0.099975
3,0.888985,68.9140,1.552331,54.8200,0.099944
4,0.803619,72.0100,1.307408,59.5400,0.099901
5,0.752969,74.2300,1.091716,63.1800,0.099846
6,0.717543,75.3500,0.970066,66.3900,0.099778
7,0.684338,76.4920,0.904466,69.1600,0.099698
8,0.666059,76.9560,1.255131,60.3500,0.099606
9,0.646343,77.7240,1.475609,57.9100,0.099501
10,0.629740,78.5120,0.867750,72.0600,0.099384
11,0.621562,78.9180,1.270950,61.4900,0.099255
