epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.563529,42.1840,1.972810,39.7800,0.001000
2,1.166663,58.5180,1.644518,44.7300,0.001000
3,1.065107,62.2840,1.585680,47.3000,0.000999
4,1.021765,63.9340,2.049178,42.0000,0.000999
5,0.983335,65.6340,1.118054,61.1900,0.000998
6,0.955124,66.4600,1.168725,60.4100,0.000998
7,0.938750,67.2380,1.260874,57.2200,0.000997
8,0.927523,67.4900,1.174785,60.7500,0.000996
9,0.917030,67.8180,1.061698,63.0800,0.000995
10,0.900869,68.8740,1.369717,56.6200,0.000994
11,0.888630,69.0740,1.623290,49.4300,0.000993
12,0.882531,69.1900,1.319828,55.2600,0.000991
13,0.879228,69.2880,1.215417,57.8600,0.000990
14,0.868752,69.7740,2.311614,43.2800,0.000988
15,0.865469,70.1280,1.254974,56.8700,0.000986
16,0.866403,69.9080,1.280500,57.7900,0.000984
17,0.861576,69.9560,1.820025,46.2200,0.000982
18,0.853728,70.0600,1.567753,50.2700,0.000980
19,0.858899,70.2140,1.500146,52.9100,0.000978
20,0.848232,70.5180,1.138722,62.5400,0.000976
21,0.849887,70.3820,4.610253,23.4600,0.000973
22,0.849521,70.6660,1.535030,53.9200,0.000970
23,0.844127,70.5960,1.568858,53.6800,0.000968
24,0.840893,70.7440,1.073749,65.2200,0.000965
25,0.842105,70.8780,1.123143,62.4000,0.000962
26,0.840689,70.5520,2.564567,46.6000,0.000959
27,0.835182,71.0520,0.937446,67.7900,0.000956
28,0.840062,70.7080,2.702386,45.7800,0.000952
29,0.837687,70.9740,1.013798,65.7100,0.000949
30,0.825540,71.2380,3.681645,32.7000,0.000946
31,0.832323,71.3180,1.323138,57.7200,0.000942
32,0.822396,71.3880,1.516614,53.1100,0.000938
33,0.827649,71.3360,1.090808,63.2700,0.000934
34,0.819050,71.3800,2.366386,49.5800,0.000930
35,0.824950,71.3520,1.727773,54.6400,0.000926
36,0.820885,71.5040,2.066589,45.3700,0.000922
37,0.816278,71.6540,2.887660,38.6000,0.000918
38,0.814392,71.7660,1.261736,59.3000,0.000914
39,0.818137,71.5560,1.523787,51.6900,0.000909
40,0.818413,71.7780,2.453664,37.3500,0.000905
41,0.813979,71.6640,1.153609,63.0600,0.000900
42,0.810850,72.0480,1.449274,55.8100,0.000895
43,0.813855,71.9040,3.788160,32.3600,0.000890
44,0.809477,72.0860,2.192441,47.6000,0.000885
45,0.811487,71.7860,1.457334,55.5800,0.000880
46,0.811249,72.0340,1.179796,58.6600,0.000875
47,0.802984,72.1780,1.089192,62.6900,0.000870
48,0.808503,72.0140,3.946423,27.2300,0.000864
49,0.808394,71.7660,1.333777,58.2000,0.000859
50,0.804416,71.9760,1.608072,56.0000,0.000854
51,0.800462,72.2860,1.500483,58.5200,0.000848
52,0.803694,72.2700,1.291953,59.9800,0.000842
53,0.803788,72.2400,0.967063,66.0800,0.000837
54,0.801435,72.1780,1.551191,57.9400,0.000831
55,0.802012,72.2440,2.079365,48.2700,0.000825
56,0.797886,72.2360,1.284922,59.4800,0.000819
57,0.794348,72.4400,1.102275,61.5500,0.000813
58,0.795475,72.6320,1.464506,56.6200,0.000806
59,0.793200,72.4720,1.133139,62.7900,0.000800
60,0.788310,72.5260,3.538730,33.9700,0.000794
61,0.784678,72.7640,1.373998,57.8800,0.000788
